Rent (INR),Location,Distance from College (km)
8500,"Lane-10, Post Office Road",5.9
5000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",0.6
7000,Shubhash Nagar,5.1
10000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",5.1
6000,Sahastradhara,1.1
3000,Mohabbewala,5.9
9000,"Lane-3, Clement Town, Dehradun",8.7
5000,GK army Pre Primary School,7.0
6000,"Subhash Nagar, Dehradun",4.9
10500,Manav Kendra,6.9
9500,Bharuwala colony,7.4
7500,Bharuwala colony,5.2
10000,jaligaon,4.5
4500,Shubhash Nagar,7.4
3500,Clement Town,2.2
3000,Manav Kendra,2.8
4000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",9.1
3000,"Lane-10, Post Office Road",3.3
5500,GK army Pre Primary School,2.4
4000,GK army Pre Primary School,8.5
3500,GK army Pre Primary School,0.4
8500,Subhash Nagar,4.1
5000,air force colony,2.8
6500,Mohabbewala,4.4
3000,Bharuwala colony,4.2
3500,Bell Road,3.8
11000,Bell Road,8.2
4500,"Subhash Nagar, Dehradun",4.7
6500,ISBT road,3.3
11000,air force colony,1.4
5000,"Lane-10, Post Office Road",8.8
9000,ISBT road,3.3
11000,jaligaon,7.2
4500,"Subhash Nagar, Dehradun",0.5
6500,Tibetan Colony,9.3
9500,Tibetan Colony,8.5
6500,Bell Road,0.3
3000,Bell Road,8.5
5000,Clement Town,3.1
10500,Shubhash Nagar,8.5
7000,"Lane-10, Post Office Road",3.8
9500,ISBT road,3.3
6000,"Subhash Nagar, Dehradun",3.5
12500,GK army Pre Primary School,7.4
12000,jaligaon,6.7
8000,"Lane-3, Clement Town, Dehradun",3.8
7500,Sahastradhara,4.1
8500,Mohabbewala,3.4
12500,Bell Road,6.5
9000,ISBT road,3.3
10500,Subhash Nagar,2.0
10000,"Clement Town, Post Office Road, Lane No 10",1.2
10000,Sahastradhara,1.4
6500,jaligaon,0.6
4000,"Lane-3, Clement Town, Dehradun",7.6
12500,"Lane-10, Post Office Road",3.1
3000,Clement Town,4.9
11500,Bharuwala colony,2.4
3500,St Mary Church,2.4
3000,jaligaon,0.3
6000,Sahastradhara,8.0
7500,Sahastradhara,10.0
3500,Bharuwala colony,4.3
3500,jaligaon,4.0
5500,"Lane-3, Clement Town, Dehradun",3.1
6000,"Lane-10, Post Office Road",2.9
4500,"Lane-3, Clement Town, Dehradun",7.7
9000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",9.8
10500,"Subhash Nagar, Dehradun",5.4
7500,St Mary Church,8.0
10500,Clement Town,1.3
8500,Mohabbewala,7.5
4000,"Lane-10, Post Office Road",0.7
12500,Shubhash Nagar,3.1
12500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",2.0
6000,ISBT road,3.3
7500,GK army Pre Primary School,3.2
4500,Subhash Nagar,0.6
3000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",5.5
8000,Clement Town,8.1
9500,Bharuwala colony,1.1
4500,Mohabbewala,7.4
3500,Bell Road,10.0
12000,Subhash Nagar,1.9
4500,air force colony,0.6
9500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",2.3
4000,ISBT road,3.3
7500,"Subhash Nagar, Dehradun",7.5
7000,Tibetan Colony,4.3
7500,"Subhash Nagar, Dehradun",0.5
5500,Sahastradhara,2.0
8000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",5.3
4500,air force colony,2.9
8500,"Subhash Nagar, Dehradun",2.5
6000,"Lane-3, Clement Town, Dehradun",8.4
5500,GK army Pre Primary School,2.6
6500,GK army Pre Primary School,8.6
3500,"Lane-2, Clement Town, Dehradun",3.8
11500,Mohabbewala,1.6
9500,"Lane-2, Clement Town, Dehradun",4.5
5000,ISBT road,3.3
8500,Clement Town,3.0
7500,St Mary Church,6.9
7000,"Lane-3, Clement Town, Dehradun",2.2
5500,"Lane-2, Clement Town, Dehradun",5.3
6000,Shubhash Nagar,5.0
3000,"Clement Town, Post Office Road, Lane No 10",7.9
3500,"Lane-10, Post Office Road",3.3
7000,Bell Road,9.4
8000,Sahastradhara,6.9
11500,"Clement Town, Post Office Road, Lane No 10",5.3
8500,Tibetan Colony,6.1
3000,Subhash Nagar,3.1
5000,"Subhash Nagar, Dehradun",1.1
7500,Tibetan Colony,1.8
6500,Subhash Nagar,7.8
4500,Clement Town,4.7
10500,Bharuwala colony,9.4
6500,GK army Pre Primary School,7.6
5000,Mohabbewala,5.4
6000,jaligaon,2.3
6000,"Lane-2, Clement Town, Dehradun",5.8
10500,"Lane-10, Post Office Road",1.3
12500,Manav Kendra,9.6
3500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",2.2
11000,"Lane-3, Clement Town, Dehradun",2.6
8500,Shubhash Nagar,7.9
10500,air force colony,2.7
7000,GK army Pre Primary School,8.0
9500,"Lane-2, Clement Town, Dehradun",8.3
3500,"Clement Town, Post Office Road, Lane No 10",7.4
3000,air force colony,5.6
11500,"Lane-3, Clement Town, Dehradun",10.0
4000,"Lane-2, Clement Town, Dehradun",6.5
7500,Manav Kendra,4.2
11500,"Lane-2, Clement Town, Dehradun",4.1
5000,"Subhash Nagar, Dehradun",9.1
4000,Tibetan Colony,5.8
3500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",9.3
4000,"Lane-2, Clement Town, Dehradun",0.8
9000,jaligaon,1.2
9500,Manav Kendra,0.6
6500,Subhash Nagar,5.3
6500,ISBT road,3.3
6500,jaligaon,6.9
11500,Bharuwala colony,2.7
3500,Sahastradhara,0.4
4500,"Clement Town, Post Office Road, Lane No 10",6.2
9500,Sahastradhara,3.4
12500,GK army Pre Primary School,1.5
10500,"Lane-2, Clement Town, Dehradun",0.8
6000,Sahastradhara,1.0
6500,"Lane-10, Post Office Road",8.2
3500,ISBT road,3.3
7500,Shubhash Nagar,7.5
9000,Subhash Nagar,9.1
11000,"Subhash Nagar, Dehradun",5.3
3000,Bharuwala colony,5.0
5500,Subhash Nagar,5.7
9500,Sahastradhara,8.3
8500,Bharuwala colony,1.2
4000,GK army Pre Primary School,1.4
11000,GK army Pre Primary School,3.5
7000,"Lane-10, Post Office Road",0.6
7500,jaligaon,5.6
12500,St Mary Church,6.7
9500,Tibetan Colony,1.0
10500,Tibetan Colony,3.2
6000,Bell Road,4.4
12500,"Lane-3, Clement Town, Dehradun",10.0
8000,Tibetan Colony,7.8
4500,Clement Town,6.5
9000,St Mary Church,7.4
6000,Sahastradhara,4.5
5500,"Lane-3, Clement Town, Dehradun",8.8
11000,Clement Town,3.3
11500,ISBT road,3.3
12000,Manav Kendra,2.8
12000,"Lane-2, Clement Town, Dehradun",6.8
3500,"Lane-10, Post Office Road",1.9
12000,St Mary Church,3.0
4500,Bharuwala colony,1.2
3000,St Mary Church,8.0
3500,Manav Kendra,4.7
9500,GK army Pre Primary School,0.8
7500,Bharuwala colony,0.5
11500,ISBT road,3.3
8500,"Subhash Nagar, Dehradun",1.2
5000,"Lane-3, Clement Town, Dehradun",4.2
7000,ISBT road,3.3
5500,Mohabbewala,9.4
9000,jaligaon,8.2
7500,Tibetan Colony,4.5
5500,Shubhash Nagar,8.3
8000,"Lane-10, Post Office Road",7.9
9000,Mohabbewala,5.5
8000,Bharuwala colony,2.7
8000,air force colony,2.3
6000,Mohabbewala,1.0
9000,Manav Kendra,8.9
12500,Bharuwala colony,7.6
8000,Subhash Nagar,6.0
7000,Tibetan Colony,8.3
5500,Bell Road,2.2
3500,"Subhash Nagar, Dehradun",9.9
6500,"Subhash Nagar, Dehradun",7.2
3500,"Lane-10, Post Office Road",8.6
9500,"Lane-3, Clement Town, Dehradun",7.3
7000,Bharuwala colony,9.8
12500,"Lane-10, Post Office Road",3.2
11500,Sahastradhara,0.5
7000,Mohabbewala,4.2
7000,Manav Kendra,7.8
11500,Mohabbewala,1.6
3500,St Mary Church,8.6
8500,Manav Kendra,9.3
12500,ISBT road,3.3
5000,"Lane-10, Post Office Road",4.3
5500,Sahastradhara,9.4
8500,GK army Pre Primary School,8.2
9500,jaligaon,3.3
5000,Clement Town,9.0
8500,"Lane-2, Clement Town, Dehradun",5.4
3500,GK army Pre Primary School,5.6
3000,Sahastradhara,6.2
7500,ISBT road,3.3
9500,"Subhash Nagar, Dehradun",7.8
8000,Bharuwala colony,1.2
7500,Bell Road,0.6
7000,Shubhash Nagar,7.6
3500,St Mary Church,4.1
8500,jaligaon,1.3
10000,Subhash Nagar,6.9
3500,St Mary Church,9.0
11500,"Clement Town, Post Office Road, Lane No 10",3.7
6500,ISBT road,3.3
3500,jaligaon,5.4
12000,jaligaon,7.9
5500,jaligaon,3.8
7000,air force colony,6.0
4000,Mohabbewala,2.1
12500,GK army Pre Primary School,6.0
9000,Bharuwala colony,3.2
6000,Sahastradhara,3.4
11500,GK army Pre Primary School,6.8
7500,"Subhash Nagar, Dehradun",9.9
3500,ISBT road,3.3
6500,ISBT road,3.3
11000,"Lane-2, Clement Town, Dehradun",3.9
12500,ISBT road,3.3
6000,Clement Town,8.4
8000,jaligaon,7.4
7000,Bharuwala colony,7.9
4500,ISBT road,3.3
8000,Manav Kendra,7.4
6000,ISBT road,3.3
10000,Clement Town,0.2
9000,GK army Pre Primary School,2.3
6000,Bell Road,0.4
11000,St Mary Church,2.0
9500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",3.5
5000,Sahastradhara,5.0
10000,Bharuwala colony,3.0
10500,Subhash Nagar,3.8
12000,Bharuwala colony,5.1
6000,Manav Kendra,5.2
3000,Bell Road,6.7
5000,"Clement Town, Post Office Road, Lane No 10",6.7
9000,Bharuwala colony,8.1
8500,Manav Kendra,1.4
3000,GK army Pre Primary School,7.0
8000,"Lane-2, Clement Town, Dehradun",8.9
12500,Bharuwala colony,1.9
9500,Shubhash Nagar,7.6
4500,ISBT road,3.3
8000,Mohabbewala,0.4
5000,Manav Kendra,5.3
10000,Manav Kendra,2.8
8000,St Mary Church,3.4
4500,Bell Road,8.0
6000,Bharuwala colony,5.4
8000,Shubhash Nagar,0.2
7500,Mohabbewala,7.3
4000,Shubhash Nagar,5.7
5500,jaligaon,5.8
4500,Clement Town,8.1
7000,jaligaon,6.5
11000,Bharuwala colony,0.5
8500,"Clement Town, Post Office Road, Lane No 10",0.7
3500,"Lane-10, Post Office Road",9.7
11000,Shubhash Nagar,5.8
5000,"Clement Town, Post Office Road, Lane No 10",5.9
3000,"Lane-2, Clement Town, Dehradun",3.1
3500,Shubhash Nagar,2.9
7500,"Subhash Nagar, Dehradun",2.5
11500,Mohabbewala,2.4
12000,"Lane-2, Clement Town, Dehradun",2.4
10000,Bharuwala colony,9.1
4000,"Subhash Nagar, Dehradun",7.7
3500,jaligaon,1.3
3500,"Clement Town, Post Office Road, Lane No 10",3.0
8500,"Lane-3, Clement Town, Dehradun",2.7
3000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",3.9
7000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",8.1
6500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",6.7
12000,St Mary Church,3.7
4500,Clement Town,9.0
6500,Mohabbewala,0.8
10500,Manav Kendra,5.8
7500,St Mary Church,5.9
5000,Mohabbewala,9.3
10000,Manav Kendra,6.2
5500,"Lane-2, Clement Town, Dehradun",1.4
11500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",4.3
4500,Bharuwala colony,7.9
10000,Sahastradhara,3.7
7000,jaligaon,3.5
6500,Subhash Nagar,10.0
12500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",5.8
12500,"Lane-3, Clement Town, Dehradun",4.0
9000,Tibetan Colony,8.4
12500,"Lane-2, Clement Town, Dehradun",8.8
7000,"Lane-2, Clement Town, Dehradun",4.6
9500,Bell Road,5.7
6500,jaligaon,7.7
7500,Mohabbewala,2.5
6500,Bell Road,9.3
5500,"Lane-10, Post Office Road",1.2
12000,Shubhash Nagar,3.9
12000,Tibetan Colony,9.4
7500,St Mary Church,1.2
5000,"Lane-3, Clement Town, Dehradun",5.1
9500,"Clement Town, Post Office Road, Lane No 10",2.6
5500,"Lane-3, Clement Town, Dehradun",5.8
3500,"Subhash Nagar, Dehradun",9.0
11500,Sahastradhara,3.1
7500,Shubhash Nagar,2.8
8000,"Lane-2, Clement Town, Dehradun",4.8
8500,Mohabbewala,6.9
11000,Subhash Nagar,7.6
12500,Tibetan Colony,2.3
4000,Mohabbewala,6.4
6000,air force colony,7.7
5500,Tibetan Colony,8.2
6000,GK army Pre Primary School,1.1
4000,GK army Pre Primary School,9.5
4500,Sahastradhara,3.9
7000,Bell Road,9.6
10000,"Lane-10, Post Office Road",4.4
12000,"Subhash Nagar, Dehradun",8.7
7500,Bharuwala colony,5.4
3000,Tibetan Colony,6.3
8500,ISBT road,3.3
6500,GK army Pre Primary School,4.6
5500,Bell Road,2.3
7000,air force colony,4.5
9500,Manav Kendra,9.6
5500,Bell Road,4.9
4000,St Mary Church,0.6
8000,ISBT road,3.3
11000,Subhash Nagar,0.7
4500,GK army Pre Primary School,7.0
5000,jaligaon,3.7
10500,ISBT road,3.3
8000,Bharuwala colony,9.5
6500,GK army Pre Primary School,3.9
6500,ISBT road,3.3
8000,St Mary Church,9.8
4500,air force colony,7.9
3000,"Lane-2, Clement Town, Dehradun",7.4
6000,"Lane-3, Clement Town, Dehradun",1.3
12000,Bell Road,5.5
11500,St Mary Church,4.4
4500,Mohabbewala,5.0
6500,Clement Town,1.5
5500,Clement Town,3.7
9000,"Clement Town, Post Office Road, Lane No 10",9.9
10500,Tibetan Colony,3.7
9000,air force colony,0.8
11500,"Lane-10, Post Office Road",1.5
3000,Clement Town,8.8
10500,"Subhash Nagar, Dehradun",1.7
3000,"Lane-10, Post Office Road",8.9
8500,Tibetan Colony,9.0
6000,Tibetan Colony,4.9
7000,GK army Pre Primary School,1.9
12000,jaligaon,1.8
12000,"Clement Town, Post Office Road, Lane No 10",8.1
8000,Manav Kendra,0.4
3500,"Lane-10, Post Office Road",7.9
11000,"Lane-3, Clement Town, Dehradun",2.8
3500,"Lane-10, Post Office Road",6.7
8500,Subhash Nagar,7.5
7500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",5.3
10000,"Lane-10, Post Office Road",0.9
6500,"Subhash Nagar, Dehradun",5.3
12500,Bell Road,2.5
6500,GK army Pre Primary School,5.8
4000,St Mary Church,9.6
11000,jaligaon,3.7
10000,ISBT road,3.3
12000,"Lane-10, Post Office Road",5.8
9500,"Lane-10, Post Office Road",8.6
3000,ISBT road,3.3
6500,St Mary Church,7.6
7000,Manav Kendra,3.4
11000,Bell Road,1.0
8500,Sahastradhara,6.3
9500,St Mary Church,1.7
9000,Sahastradhara,6.6
11500,air force colony,4.6
3500,Tibetan Colony,6.0
6500,"Lane-2, Clement Town, Dehradun",9.7
3000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",3.5
10500,Tibetan Colony,8.7
8000,Clement Town,6.9
5000,air force colony,6.3
7500,Bharuwala colony,8.7
11000,Bell Road,1.0
5500,Tibetan Colony,1.7
12000,Manav Kendra,4.2
11500,"Lane-2, Clement Town, Dehradun",4.8
12500,Subhash Nagar,7.1
8000,"Lane-2, Clement Town, Dehradun",1.9
7000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",7.1
9500,"Lane-10, Post Office Road",2.7
3500,Bharuwala colony,7.7
12000,Tibetan Colony,6.0
9000,"Lane-3, Clement Town, Dehradun",9.2
9500,Clement Town,6.7
5000,jaligaon,1.6
3500,"Lane-2, Clement Town, Dehradun",0.6
5500,Mohabbewala,3.7
12500,Mohabbewala,9.2
12500,Sahastradhara,4.8
12500,"Clement Town, Post Office Road, Lane No 10",6.7
4500,ISBT road,3.3
10500,Sahastradhara,2.3
5500,air force colony,1.3
4500,"Lane-10, Post Office Road",5.7
8500,Tibetan Colony,6.0
3500,Mohabbewala,4.8
9500,Bell Road,3.8
5000,"Lane-10, Post Office Road",3.8
5500,Sahastradhara,5.7
12500,GK army Pre Primary School,2.2
6500,Tibetan Colony,3.5
8000,"Subhash Nagar, Dehradun",3.7
5000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",8.5
4000,Bharuwala colony,5.2
8000,Sahastradhara,1.6
5000,Mohabbewala,7.6
11500,Sahastradhara,6.1
11000,"Subhash Nagar, Dehradun",3.7
9000,Bharuwala colony,4.7
5500,Sahastradhara,1.1
11000,ISBT road,3.3
11500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",8.1
8000,St Mary Church,8.2
9500,ISBT road,3.3
4500,GK army Pre Primary School,1.4
6500,Clement Town,6.9
11500,GK army Pre Primary School,0.5
6000,Bell Road,4.0
4000,Clement Town,3.0
4000,Tibetan Colony,4.3
5000,ISBT road,3.3
9000,Bharuwala colony,2.5
11500,Mohabbewala,7.4
5500,"Clement Town, Post Office Road, Lane No 10",1.0
8500,St Mary Church,1.0
7000,Sahastradhara,6.2
5000,Bharuwala colony,3.7
11000,ISBT road,3.3
8500,"Clement Town, Post Office Road, Lane No 10",3.3
5000,"Lane-2, Clement Town, Dehradun",6.5
12000,Tibetan Colony,2.5
5000,"Lane-3, Clement Town, Dehradun",9.2
6500,Bell Road,5.9
5000,Bharuwala colony,8.4
4500,"Lane-2, Clement Town, Dehradun",4.3
9000,Clement Town,9.6
6500,Bharuwala colony,4.4
8000,"Lane-10, Post Office Road",6.5
3000,Bell Road,6.2
7000,air force colony,9.6
10000,"Lane-2, Clement Town, Dehradun",8.0
9000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",8.6
5000,"Lane-3, Clement Town, Dehradun",8.8
8500,"Lane-2, Clement Town, Dehradun",2.6
6000,Tibetan Colony,8.8
4500,"Clement Town, Post Office Road, Lane No 10",0.8
6500,jaligaon,6.2
6000,"Lane-10, Post Office Road",3.0
5000,Subhash Nagar,3.9
4500,GK army Pre Primary School,9.1
7000,jaligaon,7.9
10000,Mohabbewala,7.9
11000,"Lane-10, Post Office Road",8.5
9500,Mohabbewala,7.0
11000,Clement Town,3.4
4000,air force colony,5.2
8000,"Subhash Nagar, Dehradun",7.2
7500,Shubhash Nagar,0.8
7500,Tibetan Colony,7.9
8500,Mohabbewala,2.8
12500,"Subhash Nagar, Dehradun",4.4
3000,Sahastradhara,5.7
10000,Clement Town,0.7
9000,jaligaon,8.4
3000,Bharuwala colony,4.6
4000,Manav Kendra,3.0
3500,Mohabbewala,3.1
3500,"Lane-2, Clement Town, Dehradun",5.8
9500,"Lane-3, Clement Town, Dehradun",0.9
6500,"Lane-3, Clement Town, Dehradun",6.7
9500,Shubhash Nagar,1.0
7000,air force colony,3.6
7000,Bell Road,3.7
8500,jaligaon,2.3
4500,"Lane-10, Post Office Road",1.6
3500,Clement Town,9.1
4500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",7.3
12500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",7.1
7500,Mohabbewala,3.4
6500,Mohabbewala,6.8
7500,Subhash Nagar,8.3
11500,Mohabbewala,7.4
9000,"Lane-3, Clement Town, Dehradun",3.4
3500,Mohabbewala,5.2
7000,Manav Kendra,6.1
11500,Tibetan Colony,9.2
7500,air force colony,9.9
12500,ISBT road,3.3
3500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",5.0
8500,St Mary Church,9.5
5000,jaligaon,8.1
5000,"Lane No 2C, Post Office Road, Clement Town, Dehradun",3.3
6000,air force colony,7.5
5000,Clement Town,9.2
8500,"Lane-10, Post Office Road",4.1
10500,"Lane-10, Post Office Road",4.0
11000,Clement Town,7.0
12500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",0.6
7000,Tibetan Colony,3.7
10500,"Lane-10, Post Office Road",6.1
7000,ISBT road,3.3
3000,Shubhash Nagar,4.4
6500,GK army Pre Primary School,9.9
8000,GK army Pre Primary School,3.9
6500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",8.2
10500,jaligaon,8.2
4500,"Clement Town, Post Office Road, Lane No 10",3.3
10000,"Clement Town, Post Office Road, Lane No 10",1.1
6500,jaligaon,8.2
12500,"Clement Town, Post Office Road, Lane No 10",4.9
7000,Sahastradhara,5.6
9000,Subhash Nagar,1.7
8000,Bharuwala colony,5.4
11500,jaligaon,9.4
11500,Tibetan Colony,2.4
4500,"Lane-2, Clement Town, Dehradun",3.0
10000,"Subhash Nagar, Dehradun",7.6
8000,Shubhash Nagar,2.9
10500,jaligaon,6.3
3000,Sahastradhara,5.9
8500,Bharuwala colony,8.2
7000,air force colony,6.4
6000,Subhash Nagar,5.4
12000,air force colony,7.1
11000,"Lane-3, Clement Town, Dehradun",6.0
3000,ISBT road,3.3
10000,Manav Kendra,3.1
4500,St Mary Church,4.6
11000,St Mary Church,6.5
3500,air force colony,6.5
6000,"Lane-2, Clement Town, Dehradun",4.4
10500,St Mary Church,9.9
7500,St Mary Church,5.6
12500,Subhash Nagar,0.4
3000,"Clement Town, Post Office Road, Lane No 10",1.0
7500,Subhash Nagar,9.5
7000,jaligaon,2.6
12500,jaligaon,5.2
3500,"Subhash Nagar, Dehradun",2.8
8500,Mohabbewala,2.3
11000,air force colony,0.8
8000,Clement Town,9.7
9000,St Mary Church,2.9
7500,"Lane-2, Clement Town, Dehradun",0.3
12500,jaligaon,1.8
10000,Tibetan Colony,5.2
6500,Subhash Nagar,9.2
5000,"Clement Town, Post Office Road, Lane No 10",6.0
12500,ISBT road,3.3
4000,"Lane-10, Post Office Road",3.7
8500,St Mary Church,3.8
7000,Mohabbewala,8.8
4500,ISBT road,3.3
4000,St Mary Church,8.2
4000,Subhash Nagar,4.0
3500,air force colony,9.6
6500,Clement Town,8.7
5000,Manav Kendra,0.5
7500,ISBT road,3.3
11000,Clement Town,1.5
8000,ISBT road,3.3
7500,GK army Pre Primary School,1.6
11000,Bharuwala colony,6.1
10500,Clement Town,7.1
6000,ISBT road,3.3
12500,"Lane-2, Clement Town, Dehradun",0.7
8000,Clement Town,8.8
3000,jaligaon,6.3
4000,Sahastradhara,8.8
9000,Mohabbewala,4.4
5500,"Lane-3, Clement Town, Dehradun",6.1
6000,air force colony,0.4
5000,"Lane-10, Post Office Road",8.0
6000,ISBT road,3.3
10500,Clement Town,4.6
7500,"Clement Town, Post Office Road, Lane No 10",3.3
8500,GK army Pre Primary School,2.3
7000,GK army Pre Primary School,0.4
12000,"Lane-2, Clement Town, Dehradun",3.6
3000,"Lane-10, Post Office Road",3.5
4500,Sahastradhara,9.3
6500,Mohabbewala,0.6
7500,ISBT road,3.3
10500,"Lane-2, Clement Town, Dehradun",2.5
6000,Mohabbewala,4.6
4000,"Lane-3, Clement Town, Dehradun",6.3
10000,GK army Pre Primary School,4.7
9000,"Subhash Nagar, Dehradun",6.4
3500,"Lane-10, Post Office Road",4.5
9500,St Mary Church,4.7
9000,Clement Town,9.0
5000,Bell Road,9.9
10500,St Mary Church,3.2
10000,Subhash Nagar,5.6
5500,air force colony,6.3
6000,jaligaon,6.9
11500,ISBT road,3.3
9500,ISBT road,3.3
3000,Tibetan Colony,5.0
5000,jaligaon,8.7
4500,Clement Town,6.7
3500,"Clement Town, Post Office Road, Lane No 10",7.0
9000,Manav Kendra,0.9
3000,"Clement Town, Post Office Road, Lane No 10",4.8
4500,Tibetan Colony,5.8
12000,Shubhash Nagar,8.2
11500,"Lane-10, Post Office Road",10.0
11500,GK army Pre Primary School,4.5
5500,air force colony,8.2
9500,Bell Road,5.3
6000,"Lane-2, Clement Town, Dehradun",8.9
10000,"Clement Town, Post Office Road, Lane No 10",8.7
3000,air force colony,7.8
8500,Sahastradhara,4.3
4000,Clement Town,2.4
9000,Bell Road,2.7
9500,jaligaon,8.6
4500,jaligaon,8.8
3500,"Lane-2, Clement Town, Dehradun",1.3
5000,Shubhash Nagar,9.9
9000,St Mary Church,0.7
10500,Shubhash Nagar,3.2
11500,"Clement Town, Post Office Road, Lane No 10",6.4
8000,St Mary Church,4.9
8000,"Subhash Nagar, Dehradun",1.6
12500,Bharuwala colony,5.6
12000,ISBT road,3.3
10000,"Lane-2, Clement Town, Dehradun",6.3
3500,Tibetan Colony,7.3
11500,"Lane No 2C, Post Office Road, Clement Town, Dehradun",6.6
6500,ISBT road,3.3
6000,St Mary Church,6.1
9000,Clement Town,6.4
8500,air force colony,8.6
4000,Subhash Nagar,9.8
9500,jaligaon,4.3
9500,"Lane-10, Post Office Road",5.7
8500,Sahastradhara,8.1
5000,Manav Kendra,2.7
4000,"Subhash Nagar, Dehradun",3.0
7500,Clement Town,3.0
10000,"Lane-3, Clement Town, Dehradun",2.1
3000,"Lane-2, Clement Town, Dehradun",3.5
7500,Bell Road,2.8
10500,"Subhash Nagar, Dehradun",4.7
8000,"Lane-3, Clement Town, Dehradun",3.0
5000,"Subhash Nagar, Dehradun",7.5
7000,Shubhash Nagar,8.8
9000,Sahastradhara,8.6
5500,ISBT road,3.3
